GO.ID,Term,Annotated,Significant,Expected,Rank in classicFisher,classicFisher,elimFisher,topgoFisher,parentchildFisher
GO:0006811,ion transport,537,8,1.14,1,4.8e-06,4.8e-06,4.8e-06,0.0057
GO:0007264,small GTPase mediated signal transductio...,137,5,0.29,2,6.8e-06,6.8e-06,6.8e-06,0.0159
GO:0033151,V(D)J recombination,1,1,0,10,0.0021,0.0021,0.0021,1.0000
GO:0007346,regulation of mitotic cell cycle,31,1,0.07,15,0.0638,0.0638,0.0638,0.3780
GO:0055085,transmembrane transport,578,3,1.23,19,0.1187,0.1187,0.1187,0.3575
GO:0006468,protein phosphorylation,497,2,1.05,34,0.2845,0.2845,0.2845,0.3007
